,constant,realgdp,realcons,realgovt,realdpi,cpi,m1,pop,unemp
0,1,2710.349,1707.4,470.045,1886.9,28.98,139.7,177.146,5.8
1,1,2778.801,1733.7,481.301,1919.7,29.15,141.7,177.83,5.1
2,1,2775.488,1751.8,491.26,1916.4,29.35,140.5,178.657,5.3
3,1,2785.204,1753.7,484.052,1931.3,29.37,140.0,179.386,5.6
4,1,2847.699,1770.5,462.199,1955.5,29.54,139.6,180.007,5.2
5,1,2834.39,1792.9,460.4,1966.1,29.55,140.2,180.671,5.2
6,1,2839.022,1785.8,474.676,1967.8,29.75,140.9,181.528,5.6
7,1,2802.616,1788.2,476.434,1966.6,29.84,141.1,182.287,6.3
8,1,2819.264,1787.7,475.854,1984.5,29.81,142.1,182.992,6.8
9,1,2872.005,1814.3,480.328,2014.4,29.92,142.9,183.691,7.0
10,1,2918.419,1823.1,493.828,2041.9,29.98,144.1,184.524,6.8
11,1,2977.83,1859.6,502.521,2082.0,30.04,145.2,185.242,6.2
12,1,3031.241,1879.4,520.96,2101.7,30.21,146.4,185.874,5.6
13,1,3064.709,1902.5,523.066,2125.2,30.22,146.5,186.538,5.5
14,1,3093.047,1917.9,538.838,2137.0,30.38,146.7,187.323,5.6
15,1,3100.563,1945.1,535.912,2154.6,30.44,148.3,188.013,5.5
16,1,3141.087,1958.2,522.917,2172.5,30.48,149.7,188.58,5.8
17,1,3180.447,1976.9,518.108,2193.1,30.69,151.3,189.242,5.7
18,1,3240.332,2003.8,546.893,2217.9,30.75,152.6,190.028,5.5
19,1,3264.967,2020.6,532.383,2254.6,30.94,153.7,190.668,5.6
20,1,3338.246,2060.5,529.686,2299.6,30.95,154.8,191.245,5.5
21,1,3376.587,2096.7,526.175,2362.1,31.02,156.8,191.889,5.2
22,1,3422.469,2135.2,522.008,2392.7,31.12,159.2,192.631,5.0
23,1,3431.957,2141.2,514.603,2420.4,31.28,160.7,193.223,5.0
24,1,3516.251,2188.8,508.006,2447.4,31.38,162.0,193.709,4.9
25,1,3563.96,2213.0,508.931,2474.5,31.58,163.1,194.303,4.7
26,1,3636.285,2251.0,529.446,2542.6,31.65,166.0,194.997,4.4
27,1,3724.014,2314.3,544.121,2594.1,31.88,169.1,195.539,4.1
28,1,3815.423,2348.5,556.593,2618.4,32.28,171.8,195.999,3.9
29,1,3828.124,2354.5,571.371,2624.7,32.45,170.3,196.56,3.8
30,1,3853.301,2381.5,594.514,2657.8,32.85,171.2,197.207,3.8
31,1,3884.52,2391.4,599.528,2688.2,32.9,171.9,197.736,3.7
32,1,3918.74,2405.3,640.682,2728.4,33.1,174.2,198.206,3.8
